model,model_type,test_accuracy,test_f1,test_precision,test_recall,val_loss,inference_time_ms,parameters_millions,explainability_score,accuracy_rank,f1_rank
TSPN,New Method,0.9199632095077891,0.9560571445127933,0.9653369021852496,0.9600034838806748,0.1624074561769746,3.183923284706837,3.3751388023258735,4.5,4,1
Fusion1D2D,New Method,0.8927510816892175,0.9527456321663026,0.9430968314303033,0.9592465235404619,0.2246844304357644,8.280952296489351,27.562158827492343,4.5,8,2
TFON,New Method,0.9592940916619949,0.9280892009394568,0.9364121040512986,0.9089125807112889,0.4879639408647978,12.654196971205904,11.01078597857467,4.5,1,3
MoE,New Method,0.9546717878493169,0.9043691015338697,0.8882759860941251,0.911738422594356,0.27606099749584057,2.7085352878269036,25.011257050507876,4.5,2,5
TKAN,New Method,0.9011595088521633,0.9033715718828175,0.8980260456145651,0.9016143712514989,0.41407038455720546,3.7954329502170365,25.954604701473773,4.5,6,6
NNSPN,New Method,0.904545997376568,0.8946723607882747,0.8868420505066562,0.8956626180535643,0.2727780074568463,5.077207962772587,30.786718288757783,4.5,5,7
OperatorAttention,New Method,0.9373931655089635,0.8837160330175998,0.8880178270936574,0.8705369979650914,0.12602063719411183,14.284397521546666,48.29878563719069,4.5,3,8
Resnet,Baseline,0.8240310792183185,0.9160460016093925,0.9270513145438372,0.9336259592719601,0.4579309401710595,9.370599703355191,46.13277463364428,2.0,10,4
TFN,Baseline,0.8096258047254317,0.8366005447107554,0.8212353070917606,0.8511246817457792,0.3493192507310232,5.632572347937089,3.64613833915817,2.0,12,9
WKN,Baseline,0.8463779324701666,0.8265214862593595,0.8282293295856894,0.8121584552583501,0.42087879230161584,2.0437090115167917,49.35090336172561,2.0,9,10
MCN,Baseline,0.9003918200085654,0.8158330385994423,0.7960539232843864,0.8284514957376357,0.38274293753904687,11.206100352573822,38.67788216095431,2.0,7,11
SincNet,Baseline,0.8115040252667495,0.8154777721144888,0.7972868636709103,0.8084909853450194,0.25547091587579285,4.798886444834543,41.522506703020504,2.0,11,12
